dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,pk,pii,classification,sqlDataType,columnSize,definedBy,ordinalPosition,idx,V3
LBSDummyP,Payments TS2-PP1,payment_transaction_activity,payment_transaction_activity,CREATED_BY,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_activity,payment_transaction_activity,ID,Column,UNIQUEID,false,true,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_activity,payment_transaction_activity,MESSAGE,Column,VARCHAR,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_activity,payment_transaction_activity,TRANSACTION_ID,Column,UNIQUEID,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_activity,payment_transaction_activity,TRANSACTION_STATUS,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_activity_type,payment_transaction_activity_type,ACTIVITY_CODE,Column,VARCHAR,false,true,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_activity_type,payment_transaction_activity_type,ACTIVITY_DESCRIPTION,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,BATCH_IDEMPOTENCY_KEY,Column,UNIQUEID,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,FILE_HASH,Column,VARCHAR,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,FILE_ID,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,FILE_NAME,Column,VARCHAR,false,false,true,NAME,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,FILE_PROCESSING_DATE,Column,DATE,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,ID,Column,UNIQUEID,false,true,,,,,,,,
