dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,columnSize,definedBy,pk,ordinalPosition,pii,classification,nullPercentage,refersTo,V1
LBSDummyC,Customer TS2-PP1,address,lbs_address,UK_ADDRESS_COUNTRY_ID,Column,VARBINARY/BLOB,TRUE,18,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,address,lbs_address,OVERSEAS_ADDRESS_COUNTRY_ID,Column,VARBINARY/BLOB,TRUE,18,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CREATED_BY,Column,UNIQUEID,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,MODIFIED_BY,Column,UNIQUEID,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,OWNER_ID,Column,UNIQUEID,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_UK_ADDRESS_DISTRICT,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,TITLE,Column,INTEGER,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_UK_ADDRESS_POST_CODE,Column,NVARCHAR,TRUE,10,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_UK_ADDRESS_BUILDING_NAME,Column,NVARCHAR,TRUE,36,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_BFPO_ADDRESS_RANK,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_UK_ADDRESS_TOWN,Column,NVARCHAR,TRUE,30,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_OVERSEAS_ADDRESS_LINE2,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_ADDRESS_START_DATE,Column,DATETIME,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,FIRST_NAME,Column,NVARCHAR,FALSE,255,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CUSTOMER_END_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,INITIALS,Column,NVARCHAR,TRUE,7,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,EMAIL_ADDRESS1,Column,NVARCHAR,TRUE,255,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,CORRESPONDENCE_UK_ADDRESS_COUNTRY_ID,Column,VARBINARY/BLOB,TRUE,18,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,contact,Contact,RESIDENTIAL_ADDRESS_TYPE_CODE,Column,INTEGER,FALSE,,,FALSE,,,,,,
