dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,columnSize,definedBy,pk,ordinalPosition,pii,classification,nullPercentage,refersTo,V1
LBSDummy,transaction_details,transactiondetails,transactiondetails,ENCODEDKEY,Column,VARCHAR(32),FALSE,,,TRUE,,,,,,
LBSDummy,transaction_details,transactiondetails,transactiondetails,TRANSACTIONCHANNELKEY,Column,VARCHAR(32),TRUE,,,FALSE,,,,,,
LBSDummy,transaction_details,transactiondetails,transactiondetails,INTERNALTRANSFER,Column,BIT,FALSE,,,FALSE,,,,,,
LBSDummy,transaction_details,transactiondetails,transactiondetails,TARGETSAVINGSACCOUNTKEY,Column,VARCHAR(32),TRUE,,,FALSE,,,,,,
LBSDummy,user_role,role,role,ENCODEDKEY,Column,VARCHAR(32),FALSE,,,TRUE,,,,,,
LBSDummy,user_role,role,role,ID,Column,VARCHAR(256),FALSE,,,FALSE,,,,,,
LBSDummy,user_role,role,role,NAME,Column,VARCHAR(256),FALSE,,,FALSE,,,,,,
LBSDummy,user_role,role,role,PERMISSIONS_ENCODEDKEY_OID,Column,VARCHAR(32),FALSE,,,FALSE,,,,,,
LBSDummy,user_role,role,role,ISADMINISTRATOR,Column,BIT,FALSE,,,FALSE,,,,,,
LBSDummy,user_role,role,role,ISTELLER,Column,BIT,FALSE,,,FALSE,,,,,,
LBSDummy,user_role,role,role,ISCREDITOFFICER,Column,BIT,FALSE,,,FALSE,,,,,,
LBSDummy,user_role,role,role,ACCESSRIGHTS,Column,mediumblob,FALSE,,,FALSE,,,,,,
LBSDummy,user_role,role,role,NOTES,Column,mediumtext,TRUE,,,FALSE,,,,,,
LBSDummy,user_role,role,role,CREATIONDATE,Column,DATETIME,FALSE,,,FALSE,,,,,,
LBSDummy,user_role,role,role,LASTMODIFIEDDATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummy,user_role,role,role,ISSUPPORT,Column,BIT,FALSE,,,FALSE,,,,,,
LBSDummy,user_role,role,role,ISDELIVERY,Column,BIT,FALSE,,,FALSE,,,,,,
LBSDummy,property_valuation,valuation,valuation,ID,Column,UNIQUEID,FALSE,,,TRUE,,,,,,
